Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
Date,,,,,,
1996-01-01 00:00:00+00:00,3.141414165,5.583333015,5.599999905,5.533332825,5.550000191,985500
1996-01-02 00:00:00+00:00,3.022634268,5.372221947,5.566666126,5.288887978,5.466666222,7470000
1996-01-03 00:00:00+00:00,2.925735474,5.199999809,5.254444122,5.101110935,5.133333206,15160500
1996-01-04 00:00:00+00:00,2.980748415,5.297777176,5.332221985,5.144443989,5.199999809,12397500
1996-01-05 00:00:00+00:00,2.926985741,5.20222187,5.277777195,5.188888073,5.297777176,5008500
1996-01-08 00:00:00+00:00,2.836962938,5.042222023,5.238887787,5.011110783,5.20222187,12645000
1996-01-09 00:00:00+00:00,2.829461336,5.028888226,5.108888149,4.983333111,5.042222023,8968500
1996-01-10 00:00:00+00:00,2.820082903,5.012221813,5.111111164,4.977777004,5.028888226,2988000
1996-01-11 00:00:00+00:00,2.835087538,5.038887978,5.043333054,4.988887787,5.012221813,2227500
1996-01-12 00:00:00+00:00,2.8632195,5.088888168,5.133333206,5.022222042,5.038887978,4806000
1996-01-15 00:00:00+00:00,2.832586527,5.034443855,5.111111164,5.027777195,5.088888168,2020500
1996-01-16 00:00:00+00:00,2.823834658,5.018887997,5.067777157,5,5.034443855,3082500
1996-01-17 00:00:00+00:00,2.823208809,5.017776966,5.044444084,5.002222061,5.018887997,3078000
1996-01-18 00:00:00+00:00,2.788200378,4.955554962,4.997776985,4.888887882,5.017776966,5148000
1996-01-19 00:00:00+00:00,2.667545319,4.741110802,4.966666222,4.6277771,4.955554962,16128000
1996-01-22 00:00:00+00:00,2.648791075,4.707777023,4.775555134,4.645555019,4.741110802,3946500
1996-01-23 00:00:00+00:00,2.48499918,4.416666031,4.747776985,4.3777771,4.707777023,7947000
1996-01-24 00:00:00+00:00,2.377471924,4.225554943,4.477777004,4.150000095,4.416666031,15763500
1996-01-25 00:00:00+00:00,2.35309124,4.182221889,4.222221851,4.144443989,4.225554943,8140500
1996-01-26 00:00:00+00:00,2.35309124,4.182221889,4.182221889,4.182221889,4.182221889,0
1996-01-29 00:00:00+00:00,2.48499918,4.416666031,4.505555153,4.167777061,4.182221889,9639000
1996-01-30 00:00:00+00:00,2.640038252,4.692222118,4.821111202,4.440000057,4.416666031,15669000
1996-01-31 00:00:00+00:00,2.541263342,4.516665936,4.650000095,4.460000038,4.692222118,9598500
1996-02-01 00:00:00+00:00,2.69942832,4.797777176,4.86666584,4.522222042,4.516665936,12573000
1996-02-02 00:00:00+00:00,3.008880615,5.34777689,5.44444418,4.844443798,4.887776852,28179000
1996-02-05 00:00:00+00:00,3.162670135,5.621110916,5.888887882,5.355555058,5.34777689,18873000
1996-02-06 00:00:00+00:00,3.132662058,5.567777157,5.776666164,5.412221909,5.733333111,14112000
1996-02-07 00:00:00+00:00,3.08640027,5.485555172,5.599999905,5.335555077,5.488887787,13968000
1996-02-08 00:00:00+00:00,3.410857677,6.062222004,6.062222004,5.488887787,5.555554867,21955500
1996-02-09 00:00:00+00:00,3.523385286,6.262221813,6.39666605,6.068888187,6.062222004,12181500
1996-02-12 00:00:00+00:00,3.412732124,6.065555096,6.344443798,6,6.344443798,14436000
1996-02-13 00:00:00+00:00,3.494002581,6.210000038,6.288887978,6,6.065555096,11718000
1996-02-14 00:00:00+00:00,3.602780581,6.403333187,6.588888168,6.311110973,6.311110973,9598500
1996-02-15 00:00:00+00:00,3.638413906,6.466666222,6.644443989,6.333333015,6.403333187,16924500
1996-02-16 00:00:00+00:00,3.530261278,6.274444103,6.488887787,6.155554771,6.311110973,12861000
1996-02-19 00:00:00+00:00,3.52901125,6.272222042,6.388887882,6.266665936,6.275555134,5913000
1996-02-20 00:00:00+00:00,3.373972893,5.996665955,6.333333015,5.86666584,6.333333015,9823500
1996-02-21 00:00:00+00:00,3.373972893,5.996665955,5.996665955,5.996665955,5.996665955,0
1996-02-22 00:00:00+00:00,3.456493855,6.143332958,6.221110821,6.1277771,5.996665955,3231000
1996-02-23 00:00:00+00:00,3.412107468,6.064444065,6.155554771,5.980000019,6.143332958,3168000
1996-02-26 00:00:00+00:00,3.420233965,6.078887939,6.222221851,6.002222061,6.064444065,4230000
1996-02-27 00:00:00+00:00,3.409606218,6.059999943,6.144443989,6.022222042,6.078887939,4432500
1996-02-28 00:00:00+00:00,3.390226841,6.025555134,6.218887806,6,6.059999943,3217500
